Date,Sales,Orders,Average_Order_Value
2021-03-17,129276,125,1034.21
2021-03-18,124740,125,997.92
2021-03-19,127867,136,940.2
2021-03-20,134955,135,999.67
2021-03-21,131231,153,857.72
2021-03-22,130658,137,953.71
2021-03-23,126100,131,962.6
2021-03-24,127917,140,913.69
2021-03-25,128301,130,986.93
2021-03-26,125101,141,887.24
2021-03-27,137634,139,990.17
2021-03-28,133786,135,991.01
2021-03-29,131906,184,716.88
2021-03-30,134461,129,1042.33
2021-03-31,134750,191,705.5
2021-04-01,136174,151,901.81
2021-04-02,133171,129,1032.33
2021-04-03,136640,148,923.24
2021-04-04,138611,166,835.01
2021-04-05,127298,148,860.12
2021-04-06,128796,125,1030.37
2021-04-07,129768,163,796.12
2021-04-08,131639,127,1036.53
2021-04-09,138329,146,947.46
2021-04-10,137353,161,853.12
2021-04-11,140119,155,903.99
2021-04-12,143555,165,870.03
2021-04-13,136489,134,1018.57
2021-04-14,141789,141,1005.6
2021-04-15,134642,166,811.1
2021-04-16,138288,151,915.81
2021-04-17,139801,159,879.25
2021-04-18,142909,136,1050.8
2021-04-19,144069,171,842.51
2021-04-20,132863,123,1080.19
2021-04-21,142934,151,946.58
2021-04-22,142387,166,857.75
2021-04-23,138976,155,896.62
2021-04-24,139970,158,885.89
2021-04-25,147125,173,850.43
2021-04-26,140235,146,960.51
2021-04-27,143977,169,851.93
2021-04-28,143335,185,774.78
2021-04-29,150746,164,919.18
2021-04-30,142757,177,806.54
2021-05-01,144019,162,889.01
2021-05-02,149717,171,875.54
2021-05-03,145681,165,882.92
2021-05-04,151082,136,1110.9
2021-05-05,148993,156,955.08
2021-05-06,147106,152,967.8
2021-05-07,152344,189,806.05
2021-05-08,145163,162,896.07
2021-05-09,147882,153,966.55
2021-05-10,142334,164,867.89
2021-05-11,144987,142,1021.04
2021-05-12,140779,165,853.21
2021-05-13,150059,162,926.29
2021-05-14,146423,162,903.85
2021-05-15,145521,151,963.72
2021-05-16,147781,164,901.1
2021-05-17,149467,161,928.37
2021-05-18,152029,163,932.69
2021-05-19,157438,177,889.48
2021-05-20,161756,164,986.32
2021-05-21,150693,156,965.98
2021-05-22,149056,158,943.39
2021-05-23,144089,157,917.76
2021-05-24,150558,149,1010.46
2021-05-25,145860,157,929.04
2021-05-26,147808,160,923.8
2021-05-27,147078,153,961.29
2021-05-28,149348,138,1082.23
2021-05-29,159423,189,843.51
2021-05-30,155473,154,1009.56
2021-05-31,149687,187,800.47
2021-06-01,145871,151,966.03
2021-06-02,143120,133,1076.09
2021-06-03,148588,150,990.59
2021-06-04,150650,156,965.71
2021-06-05,163459,181,903.09
2021-06-06,156196,164,952.41
2021-06-07,155634,167,931.94
2021-06-08,149062,168,887.27
2021-06-09,146069,158,924.49
2021-06-10,147146,152,968.07
2021-06-11,148310,167,888.08
2021-06-12,165731,187,886.26
2021-06-13,152532,181,842.72
2021-06-14,155572,159,978.44
2021-06-15,147802,149,991.96
2021-06-16,156120,161,969.69
2021-06-17,153719,150,1024.79
2021-06-18,151336,158,957.82
2021-06-19,156408,159,983.7
2021-06-20,153692,158,972.73
2021-06-21,154188,164,940.17
2021-06-22,150173,165,910.14
2021-06-23,146740,130,1128.77
2021-06-24,146537,160,915.86
2021-06-25,153092,171,895.27
2021-06-26,163946,166,987.63
2021-06-27,157581,162,972.72
2021-06-28,151845,181,838.92
2021-06-29,153680,148,1038.38
2021-06-30,158282,168,942.15
2021-07-01,153401,178,861.8
2021-07-02,150569,144,1045.62
2021-07-03,161899,162,999.38
2021-07-04,158849,187,849.46
2021-07-05,159327,146,1091.28
2021-07-06,153235,153,1001.54
2021-07-07,146891,155,947.68
2021-07-08,146233,136,1075.24
2021-07-09,159805,166,962.68
2021-07-10,164616,174,946.07
2021-07-11,156032,174,896.74
2021-07-12,150595,151,997.32
2021-07-13,158872,161,986.78
2021-07-14,147288,155,950.25
2021-07-15,148216,167,887.52
2021-07-16,155108,162,957.46
2021-07-17,154906,164,944.55
2021-07-18,156626,186,842.08
2021-07-19,151379,182,831.75
2021-07-20,153597,154,997.38
2021-07-21,158374,213,743.54
2021-07-22,152409,158,964.61
2021-07-23,154858,170,910.93
2021-07-24,147193,140,1051.38
2021-07-25,156156,172,907.88
2021-07-26,148037,148,1000.25
2021-07-27,146302,159,920.14
2021-07-28,147789,154,959.67
2021-07-29,150191,149,1007.99
2021-07-30,155769,171,910.93
2021-07-31,150130,146,1028.29
2021-08-01,156188,179,872.56
2021-08-02,149323,153,975.97
2021-08-03,149978,146,1027.25
2021-08-04,155916,155,1005.91
2021-08-05,153775,139,1106.29
2021-08-06,157322,177,888.82
2021-08-07,155059,185,838.16
2021-08-08,152573,175,871.85
2021-08-09,150148,150,1000.99
2021-08-10,152198,154,988.3
2021-08-11,151853,158,961.09
2021-08-12,146130,170,859.59
2021-08-13,151370,150,1009.13
2021-08-14,156443,184,850.23
2021-08-15,166698,160,1041.86
2021-08-16,159270,135,1179.78
2021-08-17,146941,150,979.61
2021-08-18,149444,150,996.29
2021-08-19,144109,158,912.08
2021-08-20,147996,184,804.33
2021-08-21,156535,174,899.63
2021-08-22,160503,186,862.92
2021-08-23,147259,177,831.97
2021-08-24,147561,136,1085.01
2021-08-25,140808,145,971.09
2021-08-26,149707,153,978.48
2021-08-27,145629,157,927.57
2021-08-28,152499,163,935.58
2021-08-29,150910,147,1026.6
2021-08-30,149907,158,948.78
2021-08-31,142400,143,995.8
2021-09-01,143689,154,933.05
2021-09-02,159855,173,924.02
2021-09-03,144465,173,835.06
2021-09-04,149811,189,792.65
2021-09-05,163003,175,931.45
2021-09-06,163303,171,954.99
2021-09-07,144953,171,847.68
2021-09-08,148567,157,946.29
2021-09-09,151763,159,954.48
2021-09-10,158009,203,778.37
2021-09-11,150297,171,878.93
2021-09-12,153644,156,984.9
2021-09-13,153760,157,979.36
2021-09-14,152235,177,860.08
2021-09-15,148607,154,964.98
2021-09-16,149721,145,1032.56
2021-09-17,144163,142,1015.23
2021-09-18,153809,163,943.61
2021-09-19,153717,168,914.98
2021-09-20,151499,168,901.78
2021-09-21,147997,150,986.65
2021-09-22,152663,158,966.22
2021-09-23,155148,155,1000.95
2021-09-24,151344,158,957.87
2021-09-25,156785,154,1018.08
2021-09-26,155503,162,959.9
2021-09-27,150830,149,1012.28
2021-09-28,147652,145,1018.29
2021-09-29,152397,172,886.03
2021-09-30,150614,187,805.42
2021-10-01,160553,150,1070.35
2021-10-02,162801,168,969.05
2021-10-03,157549,194,812.11
2021-10-04,147975,166,891.42
2021-10-05,146504,145,1010.37
2021-10-06,156975,169,928.85
2021-10-07,152907,168,910.16
2021-10-08,154000,145,1062.07
2021-10-09,148608,172,864.0
2021-10-10,160756,181,888.15
2021-10-11,154256,160,964.1
2021-10-12,147348,150,982.32
2021-10-13,150361,152,989.22
2021-10-14,153813,150,1025.42
2021-10-15,153011,158,968.42
2021-10-16,156114,158,988.06
2021-10-17,157121,169,929.71
2021-10-18,152116,159,956.7
2021-10-19,154105,161,957.17
2021-10-20,160214,166,965.14
2021-10-21,142221,141,1008.66
2021-10-22,152889,154,992.79
2021-10-23,159438,167,954.72
2021-10-24,160170,181,884.92
2021-10-25,152864,160,955.4
2021-10-26,146837,155,947.34
2021-10-27,156428,162,965.6
2021-10-28,162941,145,1123.73
2021-10-29,148486,164,905.4
2021-10-30,164001,167,982.04
2021-10-31,158867,153,1038.35
2021-11-01,155805,163,955.86
2021-11-02,151585,133,1139.74
2021-11-03,155065,169,917.54
2021-11-04,162673,167,974.09
2021-11-05,159702,180,887.23
2021-11-06,169638,184,921.95
2021-11-07,167410,173,967.69
2021-11-08,159861,157,1018.22
2021-11-09,166012,170,976.54
2021-11-10,160424,153,1048.52
2021-11-11,162464,172,944.56
2021-11-12,157698,171,922.21
2021-11-13,164132,141,1164.06
2021-11-14,161000,164,981.71
2021-11-15,164402,184,893.49
2021-11-16,154963,173,895.74
2021-11-17,164107,188,872.91
2021-11-18,160055,156,1025.99
2021-11-19,166515,181,919.97
2021-11-20,169460,176,962.84
2021-11-21,174616,185,943.87
2021-11-22,165558,164,1009.5
2021-11-23,155548,176,883.8
2021-11-24,162678,188,865.31
2021-11-25,158067,163,969.74
2021-11-26,161376,162,996.15
2021-11-27,175381,180,974.34
2021-11-28,171827,194,885.71
2021-11-29,161695,161,1004.32
2021-11-30,160665,180,892.58
2021-12-01,174766,192,910.24
2021-12-02,169541,194,873.92
2021-12-03,172397,164,1051.2
2021-12-04,181727,182,998.5
2021-12-05,185933,186,999.64
2021-12-06,179389,171,1049.06
2021-12-07,166758,142,1174.35
2021-12-08,178863,220,813.01
2021-12-09,178247,200,891.24
2021-12-10,180219,200,901.1
2021-12-11,190567,216,882.25
2021-12-12,174452,202,863.62
2021-12-13,177023,191,926.82
2021-12-14,182792,214,854.17
2021-12-15,173471,178,974.56
2021-12-16,187689,197,952.74
2021-12-17,183168,185,990.1
2021-12-18,190287,192,991.08
2021-12-19,184379,185,996.64
2021-12-20,186585,203,919.14
2021-12-21,188209,168,1120.29
2021-12-22,184932,191,968.23
2021-12-23,185424,231,802.7
2021-12-24,186076,214,869.51
2021-12-25,185967,229,812.08
2021-12-26,189685,199,953.19
2021-12-27,185663,197,942.45
2021-12-28,188578,207,911.0
2021-12-29,191858,173,1109.01
2021-12-30,183105,184,995.14
2021-12-31,187819,186,1009.78
2022-01-01,191129,218,876.74
2022-01-02,181636,209,869.07
2022-01-03,177304,186,953.25
2022-01-04,182440,189,965.29
2022-01-05,185857,232,801.11
2022-01-06,182640,195,936.62
2022-01-07,189102,199,950.26
2022-01-08,192013,206,932.1
2022-01-09,192483,218,882.95
2022-01-10,187229,206,908.88
2022-01-11,195752,209,936.61
2022-01-12,184899,193,958.03
2022-01-13,177353,178,996.37
2022-01-14,194137,187,1038.17
2022-01-15,189909,205,926.39
2022-01-16,193006,211,914.72
2022-01-17,194468,197,987.15
2022-01-18,181921,182,999.57
2022-01-19,184056,201,915.7
2022-01-20,183041,181,1011.28
2022-01-21,187233,182,1028.75
2022-01-22,197846,188,1052.37
2022-01-23,198789,182,1092.25
2022-01-24,193737,220,880.62
2022-01-25,186701,196,952.56
2022-01-26,183229,193,949.37
2022-01-27,194435,206,943.86
2022-01-28,192635,215,895.98
2022-01-29,201893,243,830.84
2022-01-30,203552,213,955.64
2022-01-31,197084,222,887.77
2022-02-01,200452,209,959.1
2022-02-02,198632,224,886.75
2022-02-03,200556,233,860.76
2022-02-04,195569,202,968.16
2022-02-05,203001,211,962.09
2022-02-06,205265,206,996.43
2022-02-07,204141,181,1127.85
2022-02-08,199246,205,971.93
2022-02-09,203932,206,989.96
2022-02-10,200958,233,862.48
2022-02-11,202193,239,846.0
2022-02-12,211522,196,1079.19
2022-02-13,199387,228,874.5
2022-02-14,198587,229,867.19
2022-02-15,198316,209,948.88
2022-02-16,195048,207,942.26
2022-02-17,203060,231,879.05
2022-02-18,210046,227,925.31
2022-02-19,210451,201,1047.02
2022-02-20,213182,241,884.57
2022-02-21,213251,254,839.57
2022-02-22,214880,210,1023.24
2022-02-23,209148,211,991.22
2022-02-24,216103,240,900.43
2022-02-25,210977,256,824.13
2022-02-26,211842,238,890.09
2022-02-27,213483,226,944.62
2022-02-28,205540,197,1043.35
2022-03-01,208748,241,866.17
2022-03-02,211674,224,944.97
2022-03-03,217439,217,1002.02
2022-03-04,222102,292,760.62
2022-03-05,213172,206,1034.82
2022-03-06,221690,259,855.95
2022-03-07,211268,216,978.09
2022-03-08,218612,225,971.61
2022-03-09,216408,209,1035.44
2022-03-10,209279,211,991.84
2022-03-11,222212,292,761.0
2022-03-12,220326,248,888.41
2022-03-13,221156,230,961.55
2022-03-14,214752,230,933.7
2022-03-15,217126,220,986.94
2022-03-16,222497,220,1011.35
2022-03-17,220217,221,996.46
2022-03-18,223042,239,933.23
2022-03-19,228182,284,803.46
2022-03-20,232983,255,913.66
2022-03-21,221481,225,984.36
2022-03-22,216857,251,863.97
2022-03-23,228781,229,999.04
2022-03-24,222959,218,1022.75
2022-03-25,229934,239,962.07
2022-03-26,231608,329,703.98
2022-03-27,229752,271,847.79
2022-03-28,227868,207,1100.81
2022-03-29,235530,260,905.88
2022-03-30,236544,299,791.12
2022-03-31,227953,217,1050.47
2022-04-01,228801,241,949.38
2022-04-02,237857,229,1038.68
2022-04-03,229639,236,973.05
2022-04-04,230869,234,986.62
2022-04-05,229675,235,977.34
2022-04-06,231620,230,1007.04
2022-04-07,226870,200,1134.35
2022-04-08,223874,218,1026.94
2022-04-09,226601,275,824.0
2022-04-10,231299,235,984.25
2022-04-11,230156,221,1041.43
2022-04-12,231289,221,1046.56
2022-04-13,241709,264,915.56
2022-04-14,238347,228,1045.38
2022-04-15,229414,224,1024.17
2022-04-16,240177,208,1154.7
2022-04-17,237144,266,891.52
2022-04-18,233555,257,908.77
2022-04-19,236022,255,925.58
2022-04-20,238322,262,909.63
2022-04-21,234352,267,877.72
2022-04-22,241005,331,728.11
2022-04-23,235911,258,914.38
2022-04-24,241406,246,981.33
2022-04-25,248890,273,911.68
2022-04-26,238521,216,1104.26
2022-04-27,244279,257,950.5
2022-04-28,238548,226,1055.52
2022-04-29,241051,248,971.98
2022-04-30,242978,239,1016.64
2022-05-01,242758,250,971.03
2022-05-02,235803,223,1057.41
2022-05-03,241527,253,954.65
2022-05-04,236034,238,991.74
2022-05-05,243131,248,980.37
2022-05-06,245284,265,925.6
2022-05-07,246808,251,983.3
2022-05-08,244124,216,1130.2
2022-05-09,243204,262,928.26
2022-05-10,240015,244,983.67
2022-05-11,245851,234,1050.65
2022-05-12,233633,224,1043.0
2022-05-13,240591,253,950.95
2022-05-14,237864,313,759.95
2022-05-15,240312,242,993.02
2022-05-16,248888,322,772.94
2022-05-17,246985,231,1069.2
2022-05-18,239920,249,963.53
2022-05-19,236592,230,1028.66
2022-05-20,230203,262,878.64
2022-05-21,245783,298,824.78
2022-05-22,259300,267,971.16
2022-05-23,246040,260,946.31
2022-05-24,241735,265,912.21
2022-05-25,246511,258,955.47
2022-05-26,237553,203,1170.21
2022-05-27,243394,239,1018.38
2022-05-28,249829,242,1032.35
2022-05-29,249139,245,1016.89
2022-05-30,248725,233,1067.49
2022-05-31,246852,264,935.05
2022-06-01,248438,316,786.2
2022-06-02,242459,259,936.14
2022-06-03,249717,246,1015.11
2022-06-04,257623,295,873.3
2022-06-05,246038,263,935.51
2022-06-06,242015,271,893.04
2022-06-07,252122,236,1068.31
2022-06-08,245347,243,1009.66
2022-06-09,252618,252,1002.45
2022-06-10,244398,244,1001.63
2022-06-11,257521,272,946.77
2022-06-12,251644,261,964.15
2022-06-13,247790,290,854.45
2022-06-14,253740,327,775.96
2022-06-15,245137,255,961.32
2022-06-16,242593,249,974.27
2022-06-17,244868,234,1046.44
2022-06-18,253477,236,1074.06
2022-06-19,244446,227,1076.85
2022-06-20,249907,287,870.76
2022-06-21,244657,265,923.23
2022-06-22,252285,255,989.35
2022-06-23,236381,205,1153.08
2022-06-24,243648,228,1068.63
2022-06-25,244126,235,1038.83
2022-06-26,248022,270,918.6
2022-06-27,248376,282,880.77
2022-06-28,246473,243,1014.29
2022-06-29,246154,286,860.68
2022-06-30,246589,265,930.52
2022-07-01,248229,264,940.26
2022-07-02,247280,230,1075.13
2022-07-03,255002,277,920.58
2022-07-04,250302,332,753.92
2022-07-05,249049,251,992.23
2022-07-06,249815,279,895.39
2022-07-07,248635,261,952.62
2022-07-08,256447,272,942.82
2022-07-09,251384,271,927.62
2022-07-10,250377,247,1013.67
2022-07-11,243849,295,826.61
2022-07-12,242574,267,908.52
2022-07-13,241595,240,1006.65
2022-07-14,243171,270,900.63
2022-07-15,246825,301,820.02
2022-07-16,253118,252,1004.44
2022-07-17,251812,242,1040.55
2022-07-18,243604,257,947.88
2022-07-19,251065,317,792.0
2022-07-20,250305,249,1005.24
2022-07-21,246222,301,818.01
2022-07-22,243963,250,975.85
2022-07-23,253828,289,878.3
2022-07-24,252164,294,857.7
2022-07-25,240259,263,913.53
2022-07-26,246426,263,936.98
2022-07-27,247866,276,898.07
2022-07-28,242592,243,998.32
2022-07-29,247449,271,913.1
2022-07-30,244500,238,1027.31
2022-07-31,257012,264,973.53
2022-08-01,252066,282,893.85
2022-08-02,245265,278,882.25
2022-08-03,247988,303,818.44
2022-08-04,235458,242,972.97
2022-08-05,241050,262,920.04
2022-08-06,249382,328,760.31
2022-08-07,245830,271,907.12
2022-08-08,249320,284,877.89
2022-08-09,255043,237,1076.13
2022-08-10,240712,296,813.22
2022-08-11,242189,290,835.13
2022-08-12,246969,238,1037.68
2022-08-13,257613,243,1060.14
2022-08-14,244815,275,890.24
2022-08-15,246890,274,901.06
2022-08-16,253920,254,999.69
2022-08-17,238247,312,763.61
2022-08-18,239872,299,802.25
2022-08-19,243689,263,926.57
2022-08-20,247711,231,1072.34
2022-08-21,253671,277,915.78
2022-08-22,246564,257,959.39
2022-08-23,237452,228,1041.46
2022-08-24,247724,221,1120.92
2022-08-25,242772,269,902.5
2022-08-26,251074,265,947.45
2022-08-27,246985,225,1097.71
2022-08-28,246917,298,828.58
2022-08-29,247691,240,1032.05
2022-08-30,248665,286,869.46
2022-08-31,247226,258,958.24
2022-09-01,237605,255,931.78
2022-09-02,247594,283,874.89
2022-09-03,245004,281,871.9
2022-09-04,250705,258,971.72
2022-09-05,238730,232,1029.01
2022-09-06,247138,263,939.69
2022-09-07,241496,253,954.53
2022-09-08,239352,240,997.3
2022-09-09,248338,285,871.36
2022-09-10,250717,248,1010.96
2022-09-11,246875,243,1015.95
2022-09-12,251678,217,1159.81
2022-09-13,243179,264,921.13
2022-09-14,245323,269,911.98
2022-09-15,246409,244,1009.87
2022-09-16,242435,239,1014.37
2022-09-17,251871,278,906.01
2022-09-18,247381,270,916.23
2022-09-19,243463,245,993.73
2022-09-20,251486,285,882.41
2022-09-21,240713,262,918.75
2022-09-22,234584,245,957.49
2022-09-23,252740,245,1031.59
2022-09-24,261516,290,901.78
2022-09-25,248278,309,803.49
2022-09-26,236948,297,797.8
2022-09-27,244332,288,848.38
2022-09-28,244511,289,846.06
2022-09-29,245018,261,938.77
2022-09-30,240941,282,854.4
2022-10-01,253142,283,894.49
2022-10-02,252982,285,887.66
2022-10-03,239488,262,914.08
2022-10-04,249455,236,1057.01
2022-10-05,255647,255,1002.54
2022-10-06,247289,260,951.11
2022-10-07,245107,268,914.58
2022-10-08,250600,274,914.6
2022-10-09,254127,260,977.41
2022-10-10,239194,240,996.64
2022-10-11,247851,282,878.9
2022-10-12,245488,258,951.5
2022-10-13,255698,325,786.76
2022-10-14,246743,255,967.62
2022-10-15,259680,257,1010.43
2022-10-16,247362,267,926.45
2022-10-17,250629,229,1094.45
2022-10-18,249587,284,878.83
2022-10-19,244408,253,966.04
2022-10-20,249291,263,947.87
2022-10-21,254127,270,941.21
2022-10-22,251898,268,939.92
2022-10-23,245930,257,956.93
2022-10-24,249159,245,1016.98
2022-10-25,245377,231,1062.24
2022-10-26,248102,261,950.58
2022-10-27,249485,246,1014.17
2022-10-28,242392,271,894.44
2022-10-29,247518,245,1010.28
2022-10-30,257183,289,889.91
2022-10-31,248393,239,1039.3
2022-11-01,239440,212,1129.43
2022-11-02,254755,271,940.06
2022-11-03,252696,326,775.14
2022-11-04,248510,274,906.97
2022-11-05,250554,239,1048.34
2022-11-06,260504,262,994.29
2022-11-07,254083,262,969.78
2022-11-08,263507,256,1029.32
2022-11-09,254955,258,988.2
2022-11-10,255093,244,1045.46
2022-11-11,252887,247,1023.83
2022-11-12,262108,245,1069.83
2022-11-13,261546,267,979.57
2022-11-14,260171,254,1024.3
2022-11-15,252503,273,924.92
2022-11-16,253206,281,901.09
2022-11-17,253330,233,1087.25
2022-11-18,259371,268,967.8
2022-11-19,267387,264,1012.83
2022-11-20,258916,270,958.95
2022-11-21,254911,282,903.94
2022-11-22,258583,272,950.67
2022-11-23,256416,241,1063.97
2022-11-24,262163,264,993.04
2022-11-25,248108,305,813.47
2022-11-26,259388,278,933.05
2022-11-27,259960,238,1092.27
2022-11-28,248916,267,932.27
2022-11-29,255404,317,805.69
2022-11-30,256009,232,1103.49
2022-12-01,268614,267,1006.04
2022-12-02,274924,291,944.76
2022-12-03,273714,297,921.6
2022-12-04,270584,261,1036.72
2022-12-05,270878,299,905.95
2022-12-06,276270,265,1042.53
2022-12-07,267577,269,994.71
2022-12-08,268296,277,968.58
2022-12-09,275336,286,962.71
2022-12-10,276759,296,935.0
2022-12-11,281108,272,1033.49
2022-12-12,274075,311,881.27
2022-12-13,277740,339,819.29
2022-12-14,270375,271,997.69
2022-12-15,275434,275,1001.58
2022-12-16,274999,278,989.21
2022-12-17,275439,280,983.71
2022-12-18,274341,297,923.71
2022-12-19,280434,277,1012.4
2022-12-20,276243,292,946.04
2022-12-21,273701,300,912.34
2022-12-22,278351,301,924.75
2022-12-23,284346,256,1110.73
2022-12-24,273996,338,810.64
2022-12-25,278018,281,989.39
2022-12-26,276596,339,815.92
2022-12-27,287824,306,940.6
2022-12-28,283024,309,915.94
2022-12-29,285712,365,782.77
2022-12-30,277638,283,981.05
2022-12-31,282744,307,920.99
2023-01-01,281377,360,781.6
2023-01-02,275644,271,1017.14
2023-01-03,278374,261,1066.57
2023-01-04,275585,258,1068.16
2023-01-05,278209,284,979.61
2023-01-06,278200,292,952.74
2023-01-07,286021,271,1055.43
2023-01-08,286689,264,1085.94
2023-01-09,271806,261,1041.4
2023-01-10,269523,308,875.07
2023-01-11,284686,295,965.04
2023-01-12,286067,290,986.44
2023-01-13,276676,344,804.29
2023-01-14,277949,281,989.14
2023-01-15,287314,254,1131.16
2023-01-16,287110,287,1000.38
2023-01-17,291564,273,1068.0
2023-01-18,286354,297,964.15
2023-01-19,282915,300,943.05
2023-01-20,281128,287,979.54
2023-01-21,290258,328,884.93
2023-01-22,289421,332,871.75
2023-01-23,282263,268,1053.22
2023-01-24,296614,280,1059.34
2023-01-25,295992,340,870.56
2023-01-26,293637,286,1026.7
2023-01-27,284947,302,943.53
2023-01-28,298005,305,977.07
2023-01-29,297604,302,985.44
2023-01-30,292785,284,1030.93
2023-01-31,296986,310,958.02
2023-02-01,294791,277,1064.23
2023-02-02,295831,303,976.34
2023-02-03,295936,296,999.78
2023-02-04,299674,339,883.99
2023-02-05,290683,259,1122.33
2023-02-06,295155,299,987.14
2023-02-07,292846,291,1006.34
2023-02-08,290158,353,821.98
2023-02-09,304054,344,883.88
2023-02-10,304835,291,1047.54
2023-02-11,308239,317,972.36
2023-02-12,303838,381,797.48
2023-02-13,304833,295,1033.33
2023-02-14,299375,330,907.2
2023-02-15,300798,283,1062.89
2023-02-16,295529,313,944.18
2023-02-17,302798,313,967.41
2023-02-18,306345,293,1045.55
2023-02-19,300771,342,879.45
2023-02-20,302462,347,871.65
2023-02-21,302890,324,934.85
2023-02-22,311894,307,1015.94
2023-02-23,308383,366,842.58
2023-02-24,304963,373,817.6
2023-02-25,311082,306,1016.61
2023-02-26,310710,345,900.61
2023-02-27,305644,333,917.85
2023-02-28,302231,377,801.67
2023-03-01,306965,343,894.94
2023-03-02,304828,321,949.62
2023-03-03,303097,296,1023.98
2023-03-04,316059,356,887.81
2023-03-05,316052,292,1082.37
2023-03-06,302282,338,894.33
2023-03-07,310298,347,894.23
2023-03-08,315856,294,1074.34
2023-03-09,316665,327,968.39
2023-03-10,317034,350,905.81
2023-03-11,317610,339,936.9
2023-03-12,314145,297,1057.73
2023-03-13,309082,290,1065.8
2023-03-14,316017,357,885.2
2023-03-15,316677,335,945.3
2023-03-16,321264,336,956.14
2023-03-17,320919,368,872.06
2023-03-18,320368,339,945.04
2023-03-19,315854,332,951.37
2023-03-20,316004,303,1042.92
2023-03-21,318901,305,1045.58
2023-03-22,317494,344,922.95
2023-03-23,316278,339,932.97
2023-03-24,320489,319,1004.67
2023-03-25,322051,357,902.1
2023-03-26,321956,323,996.77
2023-03-27,322144,342,941.94
2023-03-28,319389,366,872.65
2023-03-29,322749,370,872.29
2023-03-30,323327,303,1067.09
2023-03-31,317413,339,936.32
2023-04-01,325314,301,1080.78
2023-04-02,334384,368,908.65
2023-04-03,318615,327,974.36
2023-04-04,314745,276,1140.38
2023-04-05,316313,366,864.24
2023-04-06,325239,407,799.11
2023-04-07,325659,309,1053.91
2023-04-08,329898,373,884.45
2023-04-09,336293,355,947.3
2023-04-10,314700,348,904.31
2023-04-11,328902,339,970.21
2023-04-12,334535,383,873.46
2023-04-13,322817,345,935.7
2023-04-14,326561,331,986.59
2023-04-15,329756,379,870.07
2023-04-16,329488,369,892.92
2023-04-17,327908,356,921.09
2023-04-18,336158,402,836.21
2023-04-19,338356,369,916.95
2023-04-20,328924,343,958.96
2023-04-21,339352,370,917.17
2023-04-22,335777,362,927.56
2023-04-23,343842,363,947.22
2023-04-24,331358,369,897.99
2023-04-25,332690,331,1005.11
2023-04-26,334062,314,1063.89
2023-04-27,347034,380,913.25
2023-04-28,336867,341,987.88
2023-04-29,334655,360,929.6
2023-04-30,342494,350,978.55
2023-05-01,332297,309,1075.39
2023-05-02,332007,335,991.07
2023-05-03,338579,419,808.06
2023-05-04,334906,340,985.02
2023-05-05,336289,321,1047.63
2023-05-06,339863,365,931.13
2023-05-07,341573,332,1028.83
2023-05-08,337725,377,895.82
