Date,Month,DayOfWeek,Time_Index,Month_Sin,Month_Cos,DayOfWeek_Sin,DayOfWeek_Cos,Forecasted_Sales
2026-02-04,2,2,1860,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,583371.1
2026-02-05,2,3,1861,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,584508.76
2026-02-06,2,4,1862,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,586662.97
2026-02-07,2,5,1863,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,588407.91
2026-02-08,2,6,1864,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,588625.95
2026-02-09,2,0,1865,0.8660254037844386,0.5000000000000001,0.0,1.0,587349.24
2026-02-10,2,1,1866,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,585735.52
2026-02-11,2,2,1867,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,585196.28
2026-02-12,2,3,1868,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,586333.94
2026-02-13,2,4,1869,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,588488.15
2026-02-14,2,5,1870,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,590233.09
2026-02-15,2,6,1871,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,590451.13
2026-02-16,2,0,1872,0.8660254037844386,0.5000000000000001,0.0,1.0,589174.43
2026-02-17,2,1,1873,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,587560.7
2026-02-18,2,2,1874,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,587021.47
2026-02-19,2,3,1875,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,588159.12
2026-02-20,2,4,1876,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,590313.33
2026-02-21,2,5,1877,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,592058.28
2026-02-22,2,6,1878,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,592276.32
2026-02-23,2,0,1879,0.8660254037844386,0.5000000000000001,0.0,1.0,590999.61
2026-02-24,2,1,1880,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,589385.88
2026-02-25,2,2,1881,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,588846.65
2026-02-26,2,3,1882,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,589984.31
2026-02-27,2,4,1883,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,592138.52
2026-02-28,2,5,1884,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,593883.46
2026-03-01,3,6,1885,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,601510.22
2026-03-02,3,0,1886,1.0,6.123233995736766e-17,0.0,1.0,600233.51
2026-03-03,3,1,1887,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,598619.79
2026-03-04,3,2,1888,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,598080.56
2026-03-05,3,3,1889,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,599218.21
2026-03-06,3,4,1890,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,601372.42
2026-03-07,3,5,1891,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,603117.37
2026-03-08,3,6,1892,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,603335.4
2026-03-09,3,0,1893,1.0,6.123233995736766e-17,0.0,1.0,602058.7
2026-03-10,3,1,1894,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,600444.97
2026-03-11,3,2,1895,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,599905.74
2026-03-12,3,3,1896,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,601043.4
2026-03-13,3,4,1897,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,603197.61
2026-03-14,3,5,1898,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,604942.55
2026-03-15,3,6,1899,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,605160.59
2026-03-16,3,0,1900,1.0,6.123233995736766e-17,0.0,1.0,603883.88
2026-03-17,3,1,1901,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,602270.15
2026-03-18,3,2,1902,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,601730.92
2026-03-19,3,3,1903,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,602868.58
2026-03-20,3,4,1904,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,605022.79
2026-03-21,3,5,1905,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,606767.73
2026-03-22,3,6,1906,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,606985.77
2026-03-23,3,0,1907,1.0,6.123233995736766e-17,0.0,1.0,605709.06
2026-03-24,3,1,1908,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,604095.34
2026-03-25,3,2,1909,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,603556.1
2026-03-26,3,3,1910,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,604693.76
2026-03-27,3,4,1911,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,606847.97
2026-03-28,3,5,1912,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,608592.91
2026-03-29,3,6,1913,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,608810.95
2026-03-30,3,0,1914,1.0,6.123233995736766e-17,0.0,1.0,607534.25
2026-03-31,3,1,1915,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,605920.52
